index,geometry,center_x,center_y,center,poly_area_km
17,"POLYGON ((-4.3832006 55.92127669999997, -4.373200600000001 55.92127669999997, -4.373200600000001 55.91127669999997, -4.3832006 55.91127669999997, -4.3832006 55.92127669999997))",-4.3782006,55.91627669999996,POINT (-4.3782006 55.91627669999996),2.2112681167374717
18,"POLYGON ((-4.3832006 55.91127669999997, -4.373200600000001 55.91127669999997, -4.373200600000001 55.90127669999998, -4.3832006 55.90127669999998, -4.3832006 55.91127669999997))",-4.3782006,55.90627669999997,POINT (-4.3782006 55.90627669999997),2.2106979188596925
19,"POLYGON ((-4.3832006 55.90127669999998, -4.373200600000001 55.90127669999998, -4.373200600000001 55.89127669999998, -4.3832006 55.89127669999998, -4.3832006 55.90127669999998))",-4.3782006,55.89627669999997,POINT (-4.3782006 55.89627669999997),2.2101280822766713
20,"POLYGON ((-4.3832006 55.89127669999998, -4.373200600000001 55.89127669999998, -4.373200600000001 55.88127669999998, -4.3832006 55.88127669999998, -4.3832006 55.89127669999998))",-4.3782006,55.886276699999975,POINT (-4.3782006 55.88627669999997),2.2095586066722026
23,"POLYGON ((-4.3832006 55.86127669999998, -4.373200600000001 55.86127669999998, -4.373200600000001 55.85127669999999, -4.3832006 55.85127669999999, -4.3832006 55.86127669999998))",-4.3782006,55.85627669999998,POINT (-4.3782006 55.85627669999998),2.2078523426053644
26,"POLYGON ((-4.3832006 55.83127669999999, -4.373200600000001 55.83127669999999, -4.373200600000001 55.82127669999999, -4.3832006 55.82127669999999, -4.3832006 55.83127669999999))",-4.3782006,55.82627669999999,POINT (-4.3782006 55.82627669999999),2.2061493160833505
33,"POLYGON ((-4.373200600000001 55.92127669999997, -4.363200600000001 55.92127669999997, -4.363200600000001 55.91127669999997, -4.373200600000001 55.91127669999997, -4.373200600000001 55.92127669999997))",-4.368200600000001,55.91627669999996,POINT (-4.368200600000001 55.91627669999996),2.2112681167374717
34,"POLYGON ((-4.373200600000001 55.91127669999997, -4.363200600000001 55.91127669999997, -4.363200600000001 55.90127669999998, -4.373200600000001 55.90127669999998, -4.373200600000001 55.91127669999997))",-4.368200600000001,55.90627669999997,POINT (-4.368200600000001 55.90627669999997),2.2106979188596925
35,"POLYGON ((-4.373200600000001 55.90127669999998, -4.363200600000001 55.90127669999998, -4.363200600000001 55.89127669999998, -4.373200600000001 55.89127669999998, -4.373200600000001 55.90127669999998))",-4.368200600000001,55.89627669999997,POINT (-4.368200600000001 55.89627669999997),2.2101280822766713
36,"POLYGON ((-4.373200600000001 55.89127669999998, -4.363200600000001 55.89127669999998, -4.363200600000001 55.88127669999998, -4.373200600000001 55.88127669999998, -4.373200600000001 55.89127669999998))",-4.368200600000001,55.886276699999975,POINT (-4.368200600000001 55.88627669999997),2.2095586066722026
40,"POLYGON ((-4.373200600000001 55.85127669999999, -4.363200600000001 55.85127669999999, -4.363200600000001 55.84127669999999, -4.373200600000001 55.84127669999999, -4.373200600000001 55.85127669999999))",-4.368200600000001,55.8462767,POINT (-4.368200600000001 55.8462767),2.207284307786213
41,"POLYGON ((-4.373200600000001 55.84127669999999, -4.363200600000001 55.84127669999999, -4.363200600000001 55.83127669999999, -4.373200600000001 55.83127669999999, -4.373200600000001 55.84127669999999))",-4.368200600000001,55.836276699999985,POINT (-4.368200600000001 55.83627669999998),2.206716632384277
42,"POLYGON ((-4.373200600000001 55.83127669999999, -4.363200600000001 55.83127669999999, -4.363200600000001 55.82127669999999, -4.373200600000001 55.82127669999999, -4.373200600000001 55.83127669999999))",-4.368200600000001,55.82627669999999,POINT (-4.368200600000001 55.82627669999999),2.2061493160833505
44,"POLYGON ((-4.373200600000001 55.81127669999999, -4.363200600000001 55.81127669999999, -4.363200600000001 55.8012767, -4.373200600000001 55.8012767, -4.373200600000001 55.81127669999999))",-4.368200600000001,55.80627669999999,POINT (-4.368200600000001 55.80627669999999),2.205015759550802
45,"POLYGON ((-4.373200600000001 55.8012767, -4.363200600000001 55.8012767, -4.363200600000001 55.7912767, -4.373200600000001 55.7912767, -4.373200600000001 55.8012767))",-4.368200600000001,55.79627670000001,POINT (-4.368200600000001 55.79627670000001),2.204449518689877
49,"POLYGON ((-4.363200600000001 55.92127669999997, -4.353200600000001 55.92127669999997, -4.353200600000001 55.91127669999997, -4.363200600000001 55.91127669999997, -4.363200600000001 55.92127669999997))",-4.358200600000001,55.91627669999996,POINT (-4.358200600000001 55.91627669999996),2.2112681167374717
50,"POLYGON ((-4.363200600000001 55.91127669999997, -4.353200600000001 55.91127669999997, -4.353200600000001 55.90127669999998, -4.363200600000001 55.90127669999998, -4.363200600000001 55.91127669999997))",-4.358200600000001,55.90627669999997,POINT (-4.358200600000001 55.90627669999997),2.2106979188596925
51,"POLYGON ((-4.363200600000001 55.90127669999998, -4.353200600000001 55.90127669999998, -4.353200600000001 55.89127669999998, -4.363200600000001 55.89127669999998, -4.363200600000001 55.90127669999998))",-4.358200600000001,55.89627669999997,POINT (-4.358200600000001 55.89627669999997),2.2101280822766713
52,"POLYGON ((-4.363200600000001 55.89127669999998, -4.353200600000001 55.89127669999998, -4.353200600000001 55.88127669999998, -4.363200600000001 55.88127669999998, -4.363200600000001 55.89127669999998))",-4.358200600000001,55.886276699999975,POINT (-4.358200600000001 55.88627669999997),2.2095586066722026
53,"POLYGON ((-4.363200600000001 55.88127669999998, -4.353200600000001 55.88127669999998, -4.353200600000001 55.87127669999998, -4.363200600000001 55.87127669999998, -4.363200600000001 55.88127669999998))",-4.358200600000001,55.87627669999998,POINT (-4.358200600000001 55.87627669999998),2.208989491734226
55,"POLYGON ((-4.363200600000001 55.86127669999998, -4.353200600000001 55.86127669999998, -4.353200600000001 55.85127669999999, -4.363200600000001 55.85127669999999, -4.363200600000001 55.86127669999998))",-4.358200600000001,55.85627669999998,POINT (-4.358200600000001 55.85627669999998),2.2078523426053644
56,"POLYGON ((-4.363200600000001 55.85127669999999, -4.353200600000001 55.85127669999999, -4.353200600000001 55.84127669999999, -4.363200600000001 55.84127669999999, -4.363200600000001 55.85127669999999))",-4.358200600000001,55.8462767,POINT (-4.358200600000001 55.8462767),2.207284307786213
57,"POLYGON ((-4.363200600000001 55.84127669999999, -4.353200600000001 55.84127669999999, -4.353200600000001 55.83127669999999, -4.363200600000001 55.83127669999999, -4.363200600000001 55.84127669999999))",-4.358200600000001,55.836276699999985,POINT (-4.358200600000001 55.83627669999998),2.206716632384277
58,"POLYGON ((-4.363200600000001 55.83127669999999, -4.353200600000001 55.83127669999999, -4.353200600000001 55.82127669999999, -4.363200600000001 55.82127669999999, -4.363200600000001 55.83127669999999))",-4.358200600000001,55.82627669999999,POINT (-4.358200600000001 55.82627669999999),2.2061493160833505
59,"POLYGON ((-4.363200600000001 55.82127669999999, -4.353200600000001 55.82127669999999, -4.353200600000001 55.81127669999999, -4.363200600000001 55.81127669999999, -4.363200600000001 55.82127669999999))",-4.358200600000001,55.816276699999996,POINT (-4.358200600000001 55.8162767),2.205582358577595
60,"POLYGON ((-4.363200600000001 55.81127669999999, -4.353200600000001 55.81127669999999, -4.353200600000001 55.8012767, -4.363200600000001 55.8012767, -4.363200600000001 55.81127669999999))",-4.358200600000001,55.80627669999999,POINT (-4.358200600000001 55.80627669999999),2.205015759550802
61,"POLYGON ((-4.363200600000001 55.8012767, -4.353200600000001 55.8012767, -4.353200600000001 55.7912767, -4.363200600000001 55.7912767, -4.363200600000001 55.8012767))",-4.358200600000001,55.79627670000001,POINT (-4.358200600000001 55.79627670000001),2.204449518689877
65,"POLYGON ((-4.353200600000001 55.92127669999997, -4.343200600000001 55.92127669999997, -4.343200600000001 55.91127669999997, -4.353200600000001 55.91127669999997, -4.353200600000001 55.92127669999997))",-4.348200600000001,55.91627669999996,POINT (-4.348200600000001 55.91627669999996),2.2112681167374717
67,"POLYGON ((-4.353200600000001 55.90127669999998, -4.343200600000001 55.90127669999998, -4.343200600000001 55.89127669999998, -4.353200600000001 55.89127669999998, -4.353200600000001 55.90127669999998))",-4.348200600000001,55.89627669999997,POINT (-4.348200600000001 55.89627669999997),2.2101280822766713
68,"POLYGON ((-4.353200600000001 55.89127669999998, -4.343200600000001 55.89127669999998, -4.343200600000001 55.88127669999998, -4.353200600000001 55.88127669999998, -4.353200600000001 55.89127669999998))",-4.348200600000001,55.886276699999975,POINT (-4.348200600000001 55.88627669999997),2.2095586066722026
69,"POLYGON ((-4.353200600000001 55.88127669999998, -4.343200600000001 55.88127669999998, -4.343200600000001 55.87127669999998, -4.353200600000001 55.87127669999998, -4.353200600000001 55.88127669999998))",-4.348200600000001,55.87627669999998,POINT (-4.348200600000001 55.87627669999998),2.208989491734226
70,"POLYGON ((-4.353200600000001 55.87127669999998, -4.343200600000001 55.87127669999998, -4.343200600000001 55.86127669999998, -4.353200600000001 55.86127669999998, -4.353200600000001 55.87127669999998))",-4.348200600000001,55.86627669999999,POINT (-4.348200600000001 55.86627669999999),2.2084207371465356
71,"POLYGON ((-4.353200600000001 55.86127669999998, -4.343200600000001 55.86127669999998, -4.343200600000001 55.85127669999999, -4.353200600000001 55.85127669999999, -4.353200600000001 55.86127669999998))",-4.348200600000001,55.85627669999998,POINT (-4.348200600000001 55.85627669999998),2.2078523426053644
72,"POLYGON ((-4.353200600000001 55.85127669999999, -4.343200600000001 55.85127669999999, -4.343200600000001 55.84127669999999, -4.353200600000001 55.84127669999999, -4.353200600000001 55.85127669999999))",-4.348200600000001,55.8462767,POINT (-4.348200600000001 55.8462767),2.207284307786213
73,"POLYGON ((-4.353200600000001 55.84127669999999, -4.343200600000001 55.84127669999999, -4.343200600000001 55.83127669999999, -4.353200600000001 55.83127669999999, -4.353200600000001 55.84127669999999))",-4.348200600000001,55.836276699999985,POINT (-4.348200600000001 55.83627669999998),2.206716632384277
74,"POLYGON ((-4.353200600000001 55.83127669999999, -4.343200600000001 55.83127669999999, -4.343200600000001 55.82127669999999, -4.353200600000001 55.82127669999999, -4.353200600000001 55.83127669999999))",-4.348200600000001,55.82627669999999,POINT (-4.348200600000001 55.82627669999999),2.2061493160833505
75,"POLYGON ((-4.353200600000001 55.82127669999999, -4.343200600000001 55.82127669999999, -4.343200600000001 55.81127669999999, -4.353200600000001 55.81127669999999, -4.353200600000001 55.82127669999999))",-4.348200600000001,55.816276699999996,POINT (-4.348200600000001 55.8162767),2.205582358577595
76,"POLYGON ((-4.353200600000001 55.81127669999999, -4.343200600000001 55.81127669999999, -4.343200600000001 55.8012767, -4.353200600000001 55.8012767, -4.353200600000001 55.81127669999999))",-4.348200600000001,55.80627669999999,POINT (-4.348200600000001 55.80627669999999),2.205015759550802
77,"POLYGON ((-4.353200600000001 55.8012767, -4.343200600000001 55.8012767, -4.343200600000001 55.7912767, -4.353200600000001 55.7912767, -4.353200600000001 55.8012767))",-4.348200600000001,55.79627670000001,POINT (-4.348200600000001 55.79627670000001),2.204449518689877
83,"POLYGON ((-4.343200600000001 55.90127669999998, -4.333200600000001 55.90127669999998, -4.333200600000001 55.89127669999998, -4.343200600000001 55.89127669999998, -4.343200600000001 55.90127669999998))",-4.338200600000001,55.89627669999997,POINT (-4.338200600000001 55.89627669999997),2.2101280822766713
84,"POLYGON ((-4.343200600000001 55.89127669999998, -4.333200600000001 55.89127669999998, -4.333200600000001 55.88127669999998, -4.343200600000001 55.88127669999998, -4.343200600000001 55.89127669999998))",-4.338200600000001,55.886276699999975,POINT (-4.338200600000001 55.88627669999997),2.2095586066722026
85,"POLYGON ((-4.343200600000001 55.88127669999998, -4.333200600000001 55.88127669999998, -4.333200600000001 55.87127669999998, -4.343200600000001 55.87127669999998, -4.343200600000001 55.88127669999998))",-4.338200600000001,55.87627669999998,POINT (-4.338200600000001 55.87627669999998),2.208989491734226
86,"POLYGON ((-4.343200600000001 55.87127669999998, -4.333200600000001 55.87127669999998, -4.333200600000001 55.86127669999998, -4.343200600000001 55.86127669999998, -4.343200600000001 55.87127669999998))",-4.338200600000001,55.86627669999999,POINT (-4.338200600000001 55.86627669999999),2.2084207371465356
87,"POLYGON ((-4.343200600000001 55.86127669999998, -4.333200600000001 55.86127669999998, -4.333200600000001 55.85127669999999, -4.343200600000001 55.85127669999999, -4.343200600000001 55.86127669999998))",-4.338200600000001,55.85627669999998,POINT (-4.338200600000001 55.85627669999998),2.2078523426053644
88,"POLYGON ((-4.343200600000001 55.85127669999999, -4.333200600000001 55.85127669999999, -4.333200600000001 55.84127669999999, -4.343200600000001 55.84127669999999, -4.343200600000001 55.85127669999999))",-4.338200600000001,55.8462767,POINT (-4.338200600000001 55.8462767),2.207284307786213
89,"POLYGON ((-4.343200600000001 55.84127669999999, -4.333200600000001 55.84127669999999, -4.333200600000001 55.83127669999999, -4.343200600000001 55.83127669999999, -4.343200600000001 55.84127669999999))",-4.338200600000001,55.836276699999985,POINT (-4.338200600000001 55.83627669999998),2.206716632384277
90,"POLYGON ((-4.343200600000001 55.83127669999999, -4.333200600000001 55.83127669999999, -4.333200600000001 55.82127669999999, -4.343200600000001 55.82127669999999, -4.343200600000001 55.83127669999999))",-4.338200600000001,55.82627669999999,POINT (-4.338200600000001 55.82627669999999),2.2061493160833505
91,"POLYGON ((-4.343200600000001 55.82127669999999, -4.333200600000001 55.82127669999999, -4.333200600000001 55.81127669999999, -4.343200600000001 55.81127669999999, -4.343200600000001 55.82127669999999))",-4.338200600000001,55.816276699999996,POINT (-4.338200600000001 55.8162767),2.205582358577595
92,"POLYGON ((-4.343200600000001 55.81127669999999, -4.333200600000001 55.81127669999999, -4.333200600000001 55.8012767, -4.343200600000001 55.8012767, -4.343200600000001 55.81127669999999))",-4.338200600000001,55.80627669999999,POINT (-4.338200600000001 55.80627669999999),2.205015759550802
93,"POLYGON ((-4.343200600000001 55.8012767, -4.333200600000001 55.8012767, -4.333200600000001 55.7912767, -4.343200600000001 55.7912767, -4.343200600000001 55.8012767))",-4.338200600000001,55.79627670000001,POINT (-4.338200600000001 55.79627670000001),2.204449518689877
99,"POLYGON ((-4.333200600000001 55.90127669999998, -4.323200600000002 55.90127669999998, -4.323200600000002 55.89127669999998, -4.333200600000001 55.89127669999998, -4.333200600000001 55.90127669999998))",-4.3282006000000015,55.89627669999997,POINT (-4.328200600000002 55.89627669999997),2.2101280822766713
100,"POLYGON ((-4.333200600000001 55.89127669999998, -4.323200600000002 55.89127669999998, -4.323200600000002 55.88127669999998, -4.333200600000001 55.88127669999998, -4.333200600000001 55.89127669999998))",-4.3282006000000015,55.886276699999975,POINT (-4.328200600000002 55.88627669999997),2.2095586066722026
101,"POLYGON ((-4.333200600000001 55.88127669999998, -4.323200600000002 55.88127669999998, -4.323200600000002 55.87127669999998, -4.333200600000001 55.87127669999998, -4.333200600000001 55.88127669999998))",-4.3282006000000015,55.87627669999998,POINT (-4.328200600000002 55.87627669999998),2.208989491734226
102,"POLYGON ((-4.333200600000001 55.87127669999998, -4.323200600000002 55.87127669999998, -4.323200600000002 55.86127669999998, -4.333200600000001 55.86127669999998, -4.333200600000001 55.87127669999998))",-4.3282006000000015,55.86627669999999,POINT (-4.328200600000002 55.86627669999999),2.2084207371465356
103,"POLYGON ((-4.333200600000001 55.86127669999998, -4.323200600000002 55.86127669999998, -4.323200600000002 55.85127669999999, -4.333200600000001 55.85127669999999, -4.333200600000001 55.86127669999998))",-4.3282006000000015,55.85627669999998,POINT (-4.328200600000002 55.85627669999998),2.2078523426053644
104,"POLYGON ((-4.333200600000001 55.85127669999999, -4.323200600000002 55.85127669999999, -4.323200600000002 55.84127669999999, -4.333200600000001 55.84127669999999, -4.333200600000001 55.85127669999999))",-4.3282006000000015,55.8462767,POINT (-4.328200600000002 55.8462767),2.207284307786213
105,"POLYGON ((-4.333200600000001 55.84127669999999, -4.323200600000002 55.84127669999999, -4.323200600000002 55.83127669999999, -4.333200600000001 55.83127669999999, -4.333200600000001 55.84127669999999))",-4.3282006000000015,55.836276699999985,POINT (-4.328200600000002 55.83627669999998),2.206716632384277
106,"POLYGON ((-4.333200600000001 55.83127669999999, -4.323200600000002 55.83127669999999, -4.323200600000002 55.82127669999999, -4.333200600000001 55.82127669999999, -4.333200600000001 55.83127669999999))",-4.3282006000000015,55.82627669999999,POINT (-4.328200600000002 55.82627669999999),2.2061493160833505
107,"POLYGON ((-4.333200600000001 55.82127669999999, -4.323200600000002 55.82127669999999, -4.323200600000002 55.81127669999999, -4.333200600000001 55.81127669999999, -4.333200600000001 55.82127669999999))",-4.3282006000000015,55.816276699999996,POINT (-4.328200600000002 55.8162767),2.205582358577595
108,"POLYGON ((-4.333200600000001 55.81127669999999, -4.323200600000002 55.81127669999999, -4.323200600000002 55.8012767, -4.333200600000001 55.8012767, -4.333200600000001 55.81127669999999))",-4.3282006000000015,55.80627669999999,POINT (-4.328200600000002 55.80627669999999),2.205015759550802
115,"POLYGON ((-4.323200600000002 55.90127669999998, -4.313200600000002 55.90127669999998, -4.313200600000002 55.89127669999998, -4.323200600000002 55.89127669999998, -4.323200600000002 55.90127669999998))",-4.318200600000002,55.89627669999997,POINT (-4.318200600000002 55.89627669999997),2.210128082276787
116,"POLYGON ((-4.323200600000002 55.89127669999998, -4.313200600000002 55.89127669999998, -4.313200600000002 55.88127669999998, -4.323200600000002 55.88127669999998, -4.323200600000002 55.89127669999998))",-4.318200600000002,55.886276699999975,POINT (-4.318200600000002 55.88627669999997),2.209558606672318
117,"POLYGON ((-4.323200600000002 55.88127669999998, -4.313200600000002 55.88127669999998, -4.313200600000002 55.87127669999998, -4.323200600000002 55.87127669999998, -4.323200600000002 55.88127669999998))",-4.318200600000002,55.87627669999998,POINT (-4.318200600000002 55.87627669999998),2.2089894917343416
118,"POLYGON ((-4.323200600000002 55.87127669999998, -4.313200600000002 55.87127669999998, -4.313200600000002 55.86127669999998, -4.323200600000002 55.86127669999998, -4.323200600000002 55.87127669999998))",-4.318200600000002,55.86627669999999,POINT (-4.318200600000002 55.86627669999999),2.208420737146651
119,"POLYGON ((-4.323200600000002 55.86127669999998, -4.313200600000002 55.86127669999998, -4.313200600000002 55.85127669999999, -4.323200600000002 55.85127669999999, -4.323200600000002 55.86127669999998))",-4.318200600000002,55.85627669999998,POINT (-4.318200600000002 55.85627669999998),2.20785234260548
120,"POLYGON ((-4.323200600000002 55.85127669999999, -4.313200600000002 55.85127669999999, -4.313200600000002 55.84127669999999, -4.323200600000002 55.84127669999999, -4.323200600000002 55.85127669999999))",-4.318200600000002,55.8462767,POINT (-4.318200600000002 55.8462767),2.207284307786328
121,"POLYGON ((-4.323200600000002 55.84127669999999, -4.313200600000002 55.84127669999999, -4.313200600000002 55.83127669999999, -4.323200600000002 55.83127669999999, -4.323200600000002 55.84127669999999))",-4.318200600000002,55.836276699999985,POINT (-4.318200600000002 55.83627669999998),2.2067166323843925
122,"POLYGON ((-4.323200600000002 55.83127669999999, -4.313200600000002 55.83127669999999, -4.313200600000002 55.82127669999999, -4.323200600000002 55.82127669999999, -4.323200600000002 55.83127669999999))",-4.318200600000002,55.82627669999999,POINT (-4.318200600000002 55.82627669999999),2.206149316083466
123,"POLYGON ((-4.323200600000002 55.82127669999999, -4.313200600000002 55.82127669999999, -4.313200600000002 55.81127669999999, -4.323200600000002 55.81127669999999, -4.323200600000002 55.82127669999999))",-4.318200600000002,55.816276699999996,POINT (-4.318200600000002 55.8162767),2.20558235857771
130,"POLYGON ((-4.313200600000002 55.91127669999997, -4.303200600000002 55.91127669999997, -4.303200600000002 55.90127669999998, -4.313200600000002 55.90127669999998, -4.313200600000002 55.91127669999997))",-4.308200600000001,55.90627669999997,POINT (-4.308200600000001 55.90627669999997),2.2106979188596925
131,"POLYGON ((-4.313200600000002 55.90127669999998, -4.303200600000002 55.90127669999998, -4.303200600000002 55.89127669999998, -4.313200600000002 55.89127669999998, -4.313200600000002 55.90127669999998))",-4.308200600000001,55.89627669999997,POINT (-4.308200600000001 55.89627669999997),2.2101280822766713
132,"POLYGON ((-4.313200600000002 55.89127669999998, -4.303200600000002 55.89127669999998, -4.303200600000002 55.88127669999998, -4.313200600000002 55.88127669999998, -4.313200600000002 55.89127669999998))",-4.308200600000001,55.886276699999975,POINT (-4.308200600000001 55.88627669999997),2.2095586066722026
133,"POLYGON ((-4.313200600000002 55.88127669999998, -4.303200600000002 55.88127669999998, -4.303200600000002 55.87127669999998, -4.313200600000002 55.87127669999998, -4.313200600000002 55.88127669999998))",-4.308200600000001,55.87627669999998,POINT (-4.308200600000001 55.87627669999998),2.208989491734226
134,"POLYGON ((-4.313200600000002 55.87127669999998, -4.303200600000002 55.87127669999998, -4.303200600000002 55.86127669999998, -4.313200600000002 55.86127669999998, -4.313200600000002 55.87127669999998))",-4.308200600000001,55.86627669999999,POINT (-4.308200600000001 55.86627669999999),2.2084207371465356
135,"POLYGON ((-4.313200600000002 55.86127669999998, -4.303200600000002 55.86127669999998, -4.303200600000002 55.85127669999999, -4.313200600000002 55.85127669999999, -4.313200600000002 55.86127669999998))",-4.308200600000001,55.85627669999998,POINT (-4.308200600000001 55.85627669999998),2.2078523426053644
136,"POLYGON ((-4.313200600000002 55.85127669999999, -4.303200600000002 55.85127669999999, -4.303200600000002 55.84127669999999, -4.313200600000002 55.84127669999999, -4.313200600000002 55.85127669999999))",-4.308200600000001,55.8462767,POINT (-4.308200600000001 55.8462767),2.207284307786213
137,"POLYGON ((-4.313200600000002 55.84127669999999, -4.303200600000002 55.84127669999999, -4.303200600000002 55.83127669999999, -4.313200600000002 55.83127669999999, -4.313200600000002 55.84127669999999))",-4.308200600000001,55.836276699999985,POINT (-4.308200600000001 55.83627669999998),2.206716632384277
138,"POLYGON ((-4.313200600000002 55.83127669999999, -4.303200600000002 55.83127669999999, -4.303200600000002 55.82127669999999, -4.313200600000002 55.82127669999999, -4.313200600000002 55.83127669999999))",-4.308200600000001,55.82627669999999,POINT (-4.308200600000001 55.82627669999999),2.2061493160833505
139,"POLYGON ((-4.313200600000002 55.82127669999999, -4.303200600000002 55.82127669999999, -4.303200600000002 55.81127669999999, -4.313200600000002 55.81127669999999, -4.313200600000002 55.82127669999999))",-4.308200600000001,55.816276699999996,POINT (-4.308200600000001 55.8162767),2.205582358577595
144,"POLYGON ((-4.303200600000002 55.93127669999997, -4.293200600000002 55.93127669999997, -4.293200600000002 55.92127669999997, -4.303200600000002 55.92127669999997, -4.303200600000002 55.93127669999997))",-4.298200600000002,55.926276699999974,POINT (-4.298200600000002 55.92627669999997),2.21183867622207
145,"POLYGON ((-4.303200600000002 55.92127669999997, -4.293200600000002 55.92127669999997, -4.293200600000002 55.91127669999997, -4.303200600000002 55.91127669999997, -4.303200600000002 55.92127669999997))",-4.298200600000002,55.91627669999996,POINT (-4.298200600000002 55.91627669999996),2.2112681167374717
146,"POLYGON ((-4.303200600000002 55.91127669999997, -4.293200600000002 55.91127669999997, -4.293200600000002 55.90127669999998, -4.303200600000002 55.90127669999998, -4.303200600000002 55.91127669999997))",-4.298200600000002,55.90627669999997,POINT (-4.298200600000002 55.90627669999997),2.2106979188596925
147,"POLYGON ((-4.303200600000002 55.90127669999998, -4.293200600000002 55.90127669999998, -4.293200600000002 55.89127669999998, -4.303200600000002 55.89127669999998, -4.303200600000002 55.90127669999998))",-4.298200600000002,55.89627669999997,POINT (-4.298200600000002 55.89627669999997),2.2101280822766713
148,"POLYGON ((-4.303200600000002 55.89127669999998, -4.293200600000002 55.89127669999998, -4.293200600000002 55.88127669999998, -4.303200600000002 55.88127669999998, -4.303200600000002 55.89127669999998))",-4.298200600000002,55.886276699999975,POINT (-4.298200600000002 55.88627669999997),2.2095586066722026
149,"POLYGON ((-4.303200600000002 55.88127669999998, -4.293200600000002 55.88127669999998, -4.293200600000002 55.87127669999998, -4.303200600000002 55.87127669999998, -4.303200600000002 55.88127669999998))",-4.298200600000002,55.87627669999998,POINT (-4.298200600000002 55.87627669999998),2.208989491734226
